locality,city,area,beds,bathrooms,balconies,furnishing,rent,property_type
Goregaon East,Mumbai,897.0,2,2,0,Semi-Furnished,120000.0,Flat
Powai,Mumbai,490.0,1,1,0,Semi-Furnished,40000.0,Flat
other,Pune,550.0,1,1,0,Unfurnished,12000.0,House
other,Nagpur,1000.0,2,2,0,Unfurnished,8000.0,Flat
Mira Road,Mumbai,595.0,1,1,0,Unfurnished,15000.0,Flat
other,Bangalore,600.0,1,1,0,Unfurnished,16000.0,House
other,New Delhi,1260.0,3,3,2,Unfurnished,60000.0,Flat
other,New Delhi,2700.0,3,3,2,Semi-Furnished,200000.0,Flat
Hadapsar,Pune,650.0,1,1,0,Unfurnished,11000.0,House
Kharadi,Pune,495.0,1,1,0,Unfurnished,24000.0,Flat
other,Bangalore,2000.0,4,3,0,Semi-Furnished,80000.0,House
Whitefield,Bangalore,1543.0,3,3,0,Unfurnished,60000.0,Flat
Powai,Mumbai,380.0,1,2,0,Furnished,70000.0,Flat
other,Mumbai,1281.0,3,3,0,Semi-Furnished,290000.0,Flat
other,Mumbai,2200.0,4,4,3,Unfurnished,350000.0,Flat
other,Mumbai,2600.0,4,5,0,Semi-Furnished,240000.0,Flat
Hinjewadi,Pune,862.0,2,2,2,Semi-Furnished,30000.0,Flat
other,New Delhi,1080.0,3,2,0,Semi-Furnished,25000.0,Flat
other,New Delhi,700.0,1,1,0,Semi-Furnished,13000.0,Flat
other,Bangalore,1900.0,3,3,3,Semi-Furnished,70000.0,Flat
Baner,Pune,1000.0,2,2,2,Semi-Furnished,35000.0,Flat
other,Pune,819.0,3,2,2,Unfurnished,20000.0,Flat
other,Nagpur,400.0,1,1,0,Unfurnished,10000.0,Flat
Kharadi,Pune,2500.0,4,6,3,Semi-Furnished,92000.0,Flat
other,Bangalore,1200.0,2,2,2,Semi-Furnished,19000.0,Flat
other,Nagpur,990.0,2,2,2,Semi-Furnished,11000.0,Flat
other,Mumbai,400.0,1,2,0,Semi-Furnished,40000.0,Flat
other,Pune,750.0,2,2,2,Semi-Furnished,26500.0,Flat
other,Bangalore,300.0,2,2,0,Semi-Furnished,25000.0,House
other,Bangalore,850.0,1,1,0,Semi-Furnished,9000.0,House
Hinjewadi,Pune,1500.0,3,3,0,Unfurnished,30000.0,Flat
other,Bangalore,2350.0,4,3,0,Furnished,90000.0,Flat
other,Pune,1200.0,2,2,0,Unfurnished,12000.0,Flat
other,Pune,480.0,1,1,0,Unfurnished,7000.0,Flat
other,Bangalore,1153.0,2,2,2,Semi-Furnished,34000.0,Flat
Chhattarpur,New Delhi,900.0,2,2,2,Semi-Furnished,21000.0,Flat
other,Mumbai,950.0,2,2,0,Semi-Furnished,65000.0,Flat
other,Nagpur,3000.0,5,4,4,Semi-Furnished,25000.0,House
other,Pune,980.0,2,2,0,Unfurnished,29000.0,Flat
other,Nagpur,950.0,3,2,3,Semi-Furnished,9000.0,Flat
other,Nagpur,1300.0,3,3,3,Furnished,35000.0,Flat
other,Bangalore,1500.0,2,2,0,Semi-Furnished,40000.0,Flat
other,Nagpur,1000.0,3,3,2,Semi-Furnished,25000.0,Flat
Marathahalli,Bangalore,1180.0,2,2,2,Semi-Furnished,38000.0,Flat
Hebbal,Bangalore,3000.0,3,3,2,Furnished,170000.0,Flat
Bandra West,Mumbai,950.0,2,2,0,Furnished,140000.0,Flat
other,New Delhi,630.0,2,1,0,Unfurnished,8000.0,House
other,Pune,3186.0,5,5,0,Semi-Furnished,140000.0,Villa
other,Bangalore,1400.0,3,3,0,Unfurnished,40000.0,House
Hebbal,Bangalore,1420.0,2,2,2,Semi-Furnished,35000.0,Flat
other,New Delhi,1200.0,3,2,0,Furnished,35000.0,Flat
Borivali East,Mumbai,1094.0,3,3,0,Semi-Furnished,120000.0,Flat
other,Bangalore,3000.0,4,5,2,Furnished,200000.0,Villa
Andheri West,Mumbai,1500.0,3,3,0,Semi-Furnished,90000.0,Flat
other,Pune,1350.0,3,3,3,Unfurnished,52000.0,Flat
other,Pune,800.0,2,2,0,Unfurnished,24000.0,Flat
other,Mumbai,315.0,1,1,0,Furnished,45000.0,Flat
Electronic City,Bangalore,2000.0,3,3,3,Semi-Furnished,25000.0,House
other,Pune,630.0,1,1,0,Unfurnished,7500.0,House
other,Bangalore,1700.0,3,3,2,Semi-Furnished,63000.0,Flat
other,Mumbai,427.0,1,1,0,Unfurnished,34000.0,Flat
other,Nagpur,650.0,1,1,0,Unfurnished,8500.0,Flat
other,Bangalore,3560.0,4,5,5,Furnished,130000.0,Flat
other,New Delhi,1250.0,2,2,0,Furnished,35000.0,House
Sarjapur Road,Bangalore,1200.0,3,3,2,Furnished,45000.0,Flat
Hadapsar,Pune,450.0,1,1,10,Furnished,25000.0,Flat
other,Bangalore,1631.0,3,2,2,Semi-Furnished,58000.0,Flat
other,Pune,1200.0,2,2,0,Unfurnished,27000.0,Flat
other,Mumbai,675.0,2,2,2,Unfurnished,45000.0,Flat
other,Bangalore,1845.0,3,3,3,Semi-Furnished,45000.0,Flat
other,Mumbai,1200.0,3,3,0,Unfurnished,130000.0,Flat
Andheri West,Mumbai,800.0,2,2,0,Unfurnished,75000.0,Flat
other,New Delhi,2260.0,4,4,3,Furnished,120000.0,Flat
other,Pune,810.0,2,2,0,Semi-Furnished,12000.0,Flat
other,New Delhi,900.0,3,2,2,Semi-Furnished,20000.0,House
other,Nagpur,1100.0,2,2,2,Semi-Furnished,18000.0,Flat
other,Mumbai,440.0,1,1,0,Furnished,35000.0,Flat
other,Bangalore,900.0,2,2,0,Unfurnished,17000.0,House
Besa,Nagpur,1150.0,2,2,2,Furnished,18000.0,Flat
other,Bangalore,1200.0,2,2,0,Semi-Furnished,19000.0,House
other,Nagpur,1700.0,1,1,0,Unfurnished,11000.0,House
other,Bangalore,600.0,2,1,0,Semi-Furnished,20000.0,House
other,New Delhi,550.0,2,1,0,Semi-Furnished,13500.0,Flat
other,Bangalore,4900.0,4,4,0,Furnished,160000.0,Villa
Wagholi,Pune,1000.0,3,3,0,Unfurnished,20000.0,Flat
other,Bangalore,800.0,2,2,2,Unfurnished,30000.0,Flat
Kharadi,Pune,900.0,2,2,2,Semi-Furnished,35000.0,Flat
other,New Delhi,1200.0,3,2,2,Furnished,36000.0,Flat
Goregaon East,Mumbai,600.0,2,2,0,Unfurnished,24500.0,Flat
other,Mumbai,550.0,1,2,0,Unfurnished,31507.0,Flat
other,Bangalore,2494.0,4,4,0,Semi-Furnished,400000.0,Flat
other,New Delhi,612.0,2,1,0,Unfurnished,9000.0,Flat
other,Mumbai,690.0,2,2,2,Unfurnished,50000.0,Flat
other,Mumbai,1250.0,3,3,6,Furnished,65000.0,Flat
other,Mumbai,3500.0,4,5,0,Semi-Furnished,700000.0,Flat
other,Bangalore,650.0,2,2,0,Semi-Furnished,20000.0,House
Goregaon East,Mumbai,423.0,1,1,0,Furnished,43000.0,Flat
Borivali West,Mumbai,761.0,2,2,2,Furnished,60000.0,Flat
other,Mumbai,300.0,1,1,0,Unfurnished,31000.0,Flat
other,Pune,1000.0,3,3,2,Furnished,32000.0,Flat
other,Pune,700.0,2,1,0,Furnished,16500.0,Flat
Wagholi,Pune,1100.0,2,2,2,Furnished,23000.0,Flat
other,Nagpur,1500.0,2,2,2,Semi-Furnished,18000.0,House
other,New Delhi,500.0,2,1,0,Semi-Furnished,7250.0,Flat
other,Nagpur,800.0,1,2,0,Semi-Furnished,8000.0,House
other,Mumbai,600.0,2,1,0,Semi-Furnished,75000.0,Flat
other,New Delhi,650.0,2,2,0,Semi-Furnished,11000.0,Flat
Dhanori,Pune,780.0,2,2,2,Semi-Furnished,20000.0,Flat
Lohegaon,Pune,750.0,2,2,0,Semi-Furnished,20000.0,Flat
other,Mumbai,1365.0,3,4,0,Semi-Furnished,200000.0,Flat
other,Nagpur,1000.0,3,3,0,Unfurnished,28000.0,House
other,Nagpur,600.0,1,1,0,Semi-Furnished,7500.0,Flat
other,Nagpur,1500.0,2,2,2,Semi-Furnished,8000.0,House
other,New Delhi,1800.0,3,3,4,Furnished,55000.0,Flat
other,Pune,450.0,1,1,0,Furnished,12999.0,Flat
other,New Delhi,1250.0,3,3,2,Unfurnished,28000.0,Flat
other,Mumbai,750.0,2,2,0,Unfurnished,24000.0,Flat
other,New Delhi,2000.0,3,2,2,Unfurnished,32000.0,Flat
Powai,Mumbai,250.0,1,1,0,Unfurnished,15000.0,Flat
Kharadi,Pune,950.0,2,2,0,Semi-Furnished,30000.0,Flat
other,Mumbai,1240.0,3,3,0,Unfurnished,230000.0,Flat
other,New Delhi,200.0,3,2,2,Unfurnished,26000.0,Flat
other,New Delhi,630.0,2,2,0,Semi-Furnished,12000.0,House
other,Bangalore,2100.0,4,4,3,Furnished,150000.0,Flat
Baner,Pune,3400.0,4,5,2,Semi-Furnished,280000.0,Flat
Wadgaon Sheri,Pune,1200.0,2,2,2,Unfurnished,38000.0,Flat
other,Nagpur,750.0,2,1,0,Furnished,17500.0,Flat
other,Bangalore,340.0,2,2,0,Semi-Furnished,32000.0,Flat
Whitefield,Bangalore,1750.0,4,5,3,Unfurnished,100000.0,House
other,Nagpur,1230.0,2,2,2,Unfurnished,8000.0,House
other,Pune,1288.0,3,3,3,Unfurnished,15000.0,Flat
other,Mumbai,261.0,1,1,0,Semi-Furnished,10000.0,Flat
Marathahalli,Bangalore,1580.0,3,3,3,Semi-Furnished,60000.0,Flat
other,Bangalore,1700.0,3,3,3,Furnished,75000.0,Flat
Wakad,Pune,1600.0,3,3,3,Furnished,52000.0,Flat
other,New Delhi,800.0,2,1,0,Unfurnished,8000.0,House
Chembur,Mumbai,300.0,1,0,0,Unfurnished,5000.0,House
other,Pune,650.0,1,1,0,Semi-Furnished,13000.0,Flat
other,Pune,1900.0,4,4,3,Unfurnished,40000.0,Flat
other,New Delhi,600.0,1,1,0,Semi-Furnished,20000.0,Flat
other,Bangalore,1178.0,2,2,4,Unfurnished,18000.0,Flat
